id_venta,fecha,id_concesionario,modelo,categoria_vehiculo,metodo_pago,unidades,precio_unitario,costo_unitario,descuento,monto_venta
68,2024-01-14,17,Bronco,SUV,Contado,5,871500.0,710400.0,130720.0,4226780.0
69,2024-01-14,2,Fiesta,Sedán,Financiamiento,1,338100.0,238700.0,33810.0,304290.0
70,2024-01-14,11,Focus,Sedán,Financiamiento,1,434100.0,329900.0,0.0,434100.0
71,2024-01-15,15,Mustang,Deportivo,Financiamiento,1,1358800.0,951400.0,135880.0,1222920.0
72,2024-01-15,5,Mustang,Deportivo,Financiamiento,3,1354700.0,988300.0,0.0,4064100.0
73,2024-01-15,11,Focus,Sedán,Contado,4,387900.0,321500.0,77580.0,1474020.0
74,2024-01-15,9,Focus,Sedán,Contado,2,413100.0,331500.0,0.0,826200.0
75,2024-01-15,8,Bronco,SUV,Financiamiento,1,976700.0,735300.0,78140.0,898560.0
76,2024-01-15,8,Explorer,SUV,Financiamiento,4,1035900.0,825500.0,331490.0,3812110.0
77,2024-01-16,18,Fiesta,Sedán,Leasing,2,326400.0,249600.0,0.0,652800.0
78,2024-01-16,9,F-150,Pickup,Contado,1,955700.0,766200.0,0.0,955700.0
79,2024-01-16,6,Fiesta,Sedán,Contado,5,306900.0,241800.0,76720.0,1457780.0
80,2024-01-16,2,F-150,Pickup,Leasing,1,972000.0,762100.0,77760.0,894240.0
81,2024-01-16,6,Fiesta,Sedán,Contado,4,303000.0,255300.0,121200.0,1090800.0
82,2024-01-17,1,Explorer,SUV,Financiamiento,1,995700.0,820900.0,119480.0,876220.0
83,2024-01-17,5,Fiesta,Sedán,Financiamiento,2,340900.0,239500.0,0.0,681800.0
84,2024-01-17,5,Focus,Sedán,Contado,1,431000.0,337300.0,21550.0,409450.0
85,2024-01-17,5,Mustang,Deportivo,Financiamiento,3,1172900.0,955000.0,351870.0,3166830.0
86,2024-01-17,8,F-150,Pickup,Contado,1,1009500.0,770700.0,100950.0,908550.0
87,2024-01-17,11,Fiesta,Sedán,Financiamiento,1,317600.0,239500.0,38110.0,279490.0
88,2024-01-17,4,Fiesta,Sedán,Contado,5,334200.0,252900.0,0.0,1671000.0
89,2024-01-17,15,Fiesta,Sedán,Financiamiento,1,301500.0,234000.0,24120.0,277380.0
90,2024-01-17,7,F-150,Pickup,Contado,4,1042400.0,791100.0,333570.0,3836030.0
91,2024-01-18,3,Focus,Sedán,Contado,1,395500.0,323200.0,0.0,395500.0
92,2024-01-18,8,Fiesta,Sedán,Contado,5,343600.0,252500.0,137440.0,1580560.0
93,2024-01-18,3,Fiesta,Sedán,Financiamiento,3,304200.0,246400.0,73010.0,839590.0
94,2024-01-18,11,Fiesta,Sedán,Financiamiento,1,310500.0,249000.0,0.0,310500.0
95,2024-01-18,8,Explorer,SUV,Financiamiento,5,1051300.0,830300.0,525650.0,4730850.0
96,2024-01-19,16,Focus,Sedán,Financiamiento,3,414300.0,328800.0,99430.0,1143470.0
97,2024-01-19,13,Mustang,Deportivo,Leasing,1,1104800.0,987100.0,33140.0,1071660.0
98,2024-01-19,7,F-150,Pickup,Contado,1,995400.0,733900.0,19910.0,975490.0
99,2024-01-19,6,Explorer,SUV,Financiamiento,5,934100.0,866400.0,467050.0,4203450.0
100,2024-01-20,12,Fiesta,Sedán,Leasing,3,331900.0,242900.0,0.0,995700.0
101,2024-01-20,9,Focus,Sedán,Financiamiento,1,418300.0,340100.0,8370.0,409930.0
102,2024-01-20,11,Fiesta,Sedán,Financiamiento,2,284600.0,255000.0,56920.0,512280.0
103,2024-01-20,19,F-150,Pickup,Contado,1,983200.0,763000.0,0.0,983200.0
104,2024-01-20,8,F-150,Pickup,Contado,3,1029500.0,754500.0,0.0,3088500.0
105,2024-01-20,3,Fiesta,Sedán,Financiamiento,1,297400.0,242100.0,0.0,297400.0
106,2024-01-20,15,Fiesta,Sedán,Leasing,4,328300.0,243600.0,39400.0,1273800.0
107,2024-01-20,6,F-150,Pickup,Contado,1,984800.0,772400.0,78780.0,906020.0
108,2024-01-20,9,Mustang,Deportivo,Financiamiento,2,1146500.0,1007600.0,45860.0,2247140.0
109,2024-01-21,17,Fiesta,Sedán,Financiamiento,5,317500.0,257200.0,158750.0,1428750.0
110,2024-01-21,11,Bronco,SUV,Contado,1,870500.0,709300.0,69640.0,800860.0
111,2024-01-21,16,Explorer,SUV,Financiamiento,3,992500.0,822100.0,0.0,2977500.0
112,2024-01-21,17,F-150,Pickup,Contado,1,977100.0,746800.0,48860.0,928240.0
113,2024-01-21,9,Focus,Sedán,Contado,1,435100.0,320100.0,0.0,435100.0
114,2024-01-21,10,F-150,Pickup,Financiamiento,1,960000.0,763100.0,48000.0,912000.0
115,2024-01-21,4,Explorer,SUV,Financiamiento,1,1049300.0,830600.0,0.0,1049300.0
116,2024-01-22,7,Bronco,SUV,Financiamiento,2,907300.0,682600.0,217750.0,1596850.0
117,2024-01-22,2,F-150,Pickup,Financiamiento,2,991600.0,744300.0,198320.0,1784880.0
118,2024-01-22,12,F-150,Pickup,Financiamiento,1,953500.0,736600.0,28600.0,924900.0
119,2024-01-22,5,Fiesta,Sedán,Financiamiento,1,332300.0,259900.0,0.0,332300.0
120,2024-01-22,2,Bronco,SUV,Contado,1,893100.0,695000.0,0.0,893100.0
121,2024-01-22,7,F-150,Pickup,Leasing,4,907200.0,759200.0,0.0,3628800.0
122,2024-01-22,6,Focus,Sedán,Leasing,1,433500.0,338400.0,8670.0,424830.0
123,2024-01-22,2,Fiesta,Sedán,Contado,2,287000.0,252200.0,0.0,574000.0
124,2024-01-22,4,F-150,Pickup,Contado,1,906800.0,757800.0,0.0,906800.0
125,2024-01-23,11,Mustang,Deportivo,Financiamiento,4,1317600.0,938800.0,263520.0,5006880.0
126,2024-01-23,20,F-150,Pickup,Contado,4,951800.0,753800.0,0.0,3807200.0
127,2024-01-23,11,Bronco,SUV,Financiamiento,2,847300.0,686200.0,135570.0,1559030.0
128,2024-01-23,19,Explorer,SUV,Financiamiento,5,1075700.0,878500.0,430280.0,4948220.0
129,2024-01-23,8,Focus,Sedán,Financiamiento,1,429900.0,318100.0,0.0,429900.0
130,2024-01-23,17,Focus,Sedán,Leasing,1,427900.0,317300.0,12840.0,415060.0
131,2024-01-23,3,Mustang,Deportivo,Leasing,4,1267000.0,946400.0,405440.0,4662560.0
132,2024-01-23,12,F-150,Pickup,Financiamiento,1,898700.0,796900.0,0.0,898700.0
133,2024-01-23,7,Fiesta,Sedán,Contado,3,340000.0,239000.0,122400.0,897600.0
134,2024-01-23,6,Explorer,SUV,Leasing,1,1061600.0,855000.0,21230.0,1040370.0
135,2024-01-24,10,F-150,Pickup,Contado,1,964700.0,768000.0,19290.0,945410.0
136,2024-01-24,1,Focus,Sedán,Contado,2,397900.0,317700.0,0.0,795800.0
137,2024-01-24,17,Focus,Sedán,Contado,2,427000.0,332200.0,68320.0,785680.0
138,2024-01-24,5,F-150,Pickup,Contado,1,947700.0,782000.0,47380.0,900320.0
139,2024-01-24,5,Bronco,SUV,Financiamiento,1,932900.0,697700.0,0.0,932900.0
140,2024-01-24,3,F-150,Pickup,Financiamiento,4,866900.0,764900.0,104030.0,3363570.0
141,2024-01-25,3,Mustang,Deportivo,Contado,2,1301300.0,998000.0,130130.0,2472470.0
142,2024-01-25,18,Focus,Sedán,Financiamiento,5,420100.0,352300.0,0.0,2100500.0
143,2024-01-25,2,F-150,Pickup,Contado,1,972700.0,756300.0,97270.0,875430.0
144,2024-01-25,9,Mustang,Deportivo,Leasing,4,1177600.0,985900.0,0.0,4710400.0
145,2024-01-25,16,Fiesta,Sedán,Contado,1,317200.0,251400.0,15860.0,301340.0
146,2024-01-26,9,Explorer,SUV,Contado,1,1021100.0,851600.0,81690.0,939410.0
147,2024-01-26,8,Focus,Sedán,Contado,3,411500.0,333800.0,0.0,1234500.0
148,2024-01-26,9,Focus,Sedán,Financiamiento,1,379700.0,310600.0,0.0,379700.0
149,2024-01-26,4,F-150,Pickup,Contado,1,821800.0,765900.0,0.0,821800.0
150,2024-01-26,8,Bronco,SUV,Contado,5,918700.0,723400.0,367480.0,4226020.0
151,2024-01-26,18,F-150,Pickup,Contado,1,993800.0,753700.0,0.0,993800.0
152,2024-01-27,11,Focus,Sedán,Financiamiento,4,426400.0,331500.0,204670.0,1500930.0
153,2024-01-27,19,Bronco,SUV,Contado,1,882000.0,663900.0,26460.0,855540.0
154,2024-01-27,18,Explorer,SUV,Financiamiento,1,1061800.0,867600.0,53090.0,1008710.0
155,2024-01-27,20,Explorer,SUV,Contado,1,1063800.0,816500.0,127660.0,936140.0
156,2024-01-27,16,Explorer,SUV,Financiamiento,4,1177100.0,836200.0,376670.0,4331730.0
157,2024-01-27,19,Fiesta,Sedán,Contado,3,329800.0,239000.0,0.0,989400.0
158,2024-01-27,14,F-150,Pickup,Financiamiento,2,1020800.0,739900.0,61250.0,1980350.0
159,2024-01-27,6,F-150,Pickup,Financiamiento,3,1010200.0,786000.0,303060.0,2727540.0
160,2024-01-27,10,F-150,Pickup,Contado,1,928700.0,768600.0,0.0,928700.0
161,2024-01-28,20,Explorer,SUV,Leasing,1,1018900.0,812800.0,81510.0,937390.0
162,2024-01-28,19,Explorer,SUV,Financiamiento,4,1109700.0,820800.0,0.0,4438800.0
163,2024-01-28,12,Fiesta,Sedán,Financiamiento,2,302200.0,250700.0,0.0,604400.0
164,2024-01-28,6,Fiesta,Sedán,Financiamiento,1,326400.0,258000.0,39170.0,287230.0
165,2024-01-28,8,Explorer,SUV,Contado,1,990700.0,813200.0,79260.0,911440.0
166,2024-01-28,19,Fiesta,Sedán,Contado,5,331000.0,250200.0,132400.0,1522600.0
167,2024-01-29,18,Fiesta,Sedán,Financiamiento,1,329100.0,262100.0,6580.0,322520.0
168,2024-01-29,5,Explorer,SUV,Financiamiento,3,1013300.0,873600.0,0.0,3039900.0
169,2024-01-30,20,Fiesta,Sedán,Contado,1,300300.0,252200.0,6010.0,294290.0
170,2024-01-30,18,Fiesta,Sedán,Financiamiento,4,318200.0,254100.0,0.0,1272800.0
171,2024-01-30,19,Focus,Sedán,Financiamiento,3,410500.0,331800.0,147780.0,1083720.0
172,2024-01-30,4,F-150,Pickup,Financiamiento,1,883500.0,752000.0,17670.0,865830.0
173,2024-01-30,16,Bronco,SUV,Leasing,2,918700.0,700100.0,0.0,1837400.0
174,2024-01-30,4,Fiesta,Sedán,Financiamiento,5,313300.0,245000.0,0.0,1566500.0
175,2024-01-31,9,Focus,Sedán,Financiamiento,1,408200.0,319400.0,40820.0,367380.0
176,2024-01-31,12,Fiesta,Sedán,Financiamiento,2,321600.0,254100.0,32160.0,611040.0
177,2024-01-31,15,Bronco,SUV,Contado,5,945400.0,706800.0,567240.0,4159760.0
178,2024-01-31,1,Explorer,SUV,Contado,1,1044400.0,845300.0,20890.0,1023510.0
179,2024-01-31,8,F-150,Pickup,Financiamiento,5,887100.0,719800.0,532260.0,3903240.0
180,2024-01-31,2,Mustang,Deportivo,Financiamiento,1,1098700.0,943200.0,87900.0,1010800.0
181,2024-01-31,20,F-150,Pickup,Contado,2,937300.0,779500.0,93730.0,1780870.0
182,2024-01-31,11,Fiesta,Sedán,Financiamiento,1,344300.0,259800.0,41320.0,302980.0
183,2024-01-31,20,Explorer,SUV,Financiamiento,5,1014400.0,839000.0,507200.0,4564800.0
184,2024-01-31,14,Explorer,SUV,Financiamiento,1,1109700.0,751700.0,110970.0,998730.0
185,2024-01-31,2,Bronco,SUV,Financiamiento,1,948600.0,684700.0,0.0,948600.0
186,2024-02-01,2,Explorer,SUV,Financiamiento,2,1123200.0,794900.0,0.0,2246400.0
187,2024-02-01,2,F-150,Pickup,Leasing,1,836700.0,787300.0,16730.0,819970.0
188,2024-02-01,14,Mustang,Deportivo,Contado,1,1216700.0,948700.0,0.0,1216700.0
189,2024-02-01,2,Explorer,SUV,Financiamiento,4,1084400.0,843000.0,0.0,4337600.0
190,2024-02-01,13,Focus,Sedán,Financiamiento,1,395200.0,335500.0,39520.0,355680.0
191,2024-02-02,6,Bronco,SUV,Contado,3,923000.0,698300.0,83070.0,2685930.0
192,2024-02-02,6,Fiesta,Sedán,Contado,1,300200.0,243100.0,36020.0,264180.0
193,2024-02-02,17,F-150,Pickup,Leasing,2,959900.0,731600.0,0.0,1919800.0
194,2024-02-02,8,Fiesta,Sedán,Financiamiento,1,304600.0,247900.0,0.0,304600.0
195,2024-02-02,15,Focus,Sedán,Contado,4,423500.0,336700.0,169400.0,1524600.0
196,2024-02-02,1,F-150,Pickup,Leasing,1,861900.0,771200.0,0.0,861900.0
197,2024-02-02,11,Explorer,SUV,Financiamiento,1,992500.0,812900.0,79400.0,913100.0
198,2024-02-02,5,Explorer,SUV,Contado,1,1036700.0,835600.0,103670.0,933030.0
199,2024-02-02,14,Fiesta,Sedán,Financiamiento,5,304700.0,251100.0,30470.0,1493030.0
200,2024-02-02,6,F-150,Pickup,Financiamiento,5,895400.0,743800.0,223850.0,4253150.0
201,2024-02-02,12,Bronco,SUV,Financiamiento,1,857700.0,714900.0,0.0,857700.0
202,2024-02-03,10,Fiesta,Sedán,Financiamiento,1,309900.0,241500.0,15500.0,294400.0
203,2024-02-03,6,Fiesta,Sedán,Financiamiento,3,312700.0,246600.0,75050.0,863050.0
204,2024-02-03,11,Bronco,SUV,Contado,3,875200.0,687800.0,315070.0,2310530.0
205,2024-02-03,13,Fiesta,Sedán,Leasing,3,329400.0,256000.0,98820.0,889380.0
206,2024-02-03,18,F-150,Pickup,Contado,1,903400.0,768700.0,45170.0,858230.0
207,2024-02-03,7,Explorer,SUV,Financiamiento,1,1117300.0,851800.0,33520.0,1083780.0
208,2024-02-03,15,Fiesta,Sedán,Financiamiento,5,329100.0,252400.0,131640.0,1513860.0
209,2024-02-03,7,F-150,Pickup,Leasing,1,893200.0,759500.0,0.0,893200.0
210,2024-02-04,15,Focus,Sedán,Financiamiento,1,425700.0,329900.0,0.0,425700.0
211,2024-02-04,15,Mustang,Deportivo,Financiamiento,2,1300000.0,922200.0,52000.0,2548000.0
212,2024-02-04,7,Focus,Sedán,Financiamiento,1,386200.0,340200.0,19310.0,366890.0
213,2024-02-04,19,F-150,Pickup,Financiamiento,1,919900.0,735600.0,91990.0,827910.0
214,2024-02-05,19,Bronco,SUV,Financiamiento,1,904100.0,688900.0,18080.0,886020.0
215,2024-02-06,8,Fiesta,Sedán,Financiamiento,5,355100.0,239000.0,0.0,1775500.0
216,2024-02-06,4,F-150,Pickup,Contado,4,937800.0,772500.0,0.0,3751200.0
217,2024-02-06,19,Mustang,Deportivo,Financiamiento,1,1224200.0,971700.0,0.0,1224200.0
218,2024-02-06,13,F-150,Pickup,Contado,3,934000.0,769400.0,336240.0,2465760.0
219,2024-02-07,18,Focus,Sedán,Financiamiento,1,407200.0,315300.0,0.0,407200.0
220,2024-02-07,18,Explorer,SUV,Contado,1,1072200.0,838500.0,0.0,1072200.0
221,2024-02-07,4,Fiesta,Sedán,Financiamiento,5,326800.0,259200.0,81700.0,1552300.0
222,2024-02-07,11,Focus,Sedán,Financiamiento,1,447000.0,325700.0,8940.0,438060.0
223,2024-02-07,13,Focus,Sedán,Financiamiento,4,430700.0,327500.0,206740.0,1516060.0
224,2024-02-07,3,Focus,Sedán,Financiamiento,4,411200.0,312600.0,164480.0,1480320.0
225,2024-02-07,13,Explorer,SUV,Contado,1,1062400.0,845400.0,84990.0,977410.0
226,2024-02-08,17,Focus,Sedán,Financiamiento,2,388600.0,326700.0,0.0,777200.0
227,2024-02-08,12,Fiesta,Sedán,Financiamiento,5,314000.0,240600.0,157000.0,1413000.0
228,2024-02-08,15,Focus,Sedán,Leasing,1,440200.0,343000.0,44020.0,396180.0
229,2024-02-08,19,Focus,Sedán,Financiamiento,1,440300.0,318900.0,44030.0,396270.0
230,2024-02-09,6,F-150,Pickup,Financiamiento,4,1064400.0,780400.0,0.0,4257600.0
231,2024-02-09,18,F-150,Pickup,Contado,1,913400.0,782700.0,0.0,913400.0
232,2024-02-09,17,Explorer,SUV,Financiamiento,3,1049900.0,833800.0,94490.0,3055210.0
233,2024-02-09,7,Fiesta,Sedán,Financiamiento,1,307900.0,248300.0,0.0,307900.0
234,2024-02-09,20,Explorer,SUV,Contado,5,1071400.0,800400.0,535700.0,4821300.0
235,2024-02-09,17,F-150,Pickup,Financiamiento,2,1001900.0,752500.0,100190.0,1903610.0
236,2024-02-09,2,Explorer,SUV,Contado,5,1026400.0,828000.0,513200.0,4618800.0
237,2024-02-10,5,Mustang,Deportivo,Leasing,2,1168700.0,966500.0,186990.0,2150410.0
238,2024-02-10,3,Explorer,SUV,Financiamiento,1,1036200.0,826600.0,31090.0,1005110.0
239,2024-02-10,16,Fiesta,Sedán,Financiamiento,1,313400.0,256500.0,37610.0,275790.0
240,2024-02-10,19,Focus,Sedán,Financiamiento,3,380500.0,337300.0,0.0,1141500.0
241,2024-02-10,11,Focus,Sedán,Contado,1,418700.0,327300.0,12560.0,406140.0
242,2024-02-10,12,Explorer,SUV,Financiamiento,1,1085900.0,822700.0,130310.0,955590.0
243,2024-02-11,14,F-150,Pickup,Contado,1,933800.0,784800.0,93380.0,840420.0
244,2024-02-11,7,Mustang,Deportivo,Contado,4,1211000.0,996400.0,387520.0,4456480.0
245,2024-02-11,18,Bronco,SUV,Contado,1,914600.0,711400.0,0.0,914600.0
246,2024-02-12,3,Bronco,SUV,Contado,1,850000.0,675000.0,17000.0,833000.0
247,2024-02-12,20,Mustang,Deportivo,Contado,1,1223200.0,943400.0,24460.0,1198740.0
248,2024-02-12,2,Bronco,SUV,Financiamiento,4,880200.0,681400.0,422500.0,3098300.0
249,2024-02-12,17,Explorer,SUV,Financiamiento,5,1081700.0,870300.0,432680.0,4975820.0
250,2024-02-12,6,F-150,Pickup,Contado,5,962400.0,775400.0,0.0,4812000.0
251,2024-02-13,12,Fiesta,Sedán,Financiamiento,1,299300.0,257200.0,0.0,299300.0
252,2024-02-13,8,Explorer,SUV,Leasing,3,969000.0,806000.0,58140.0,2848860.0
253,2024-02-13,12,Explorer,SUV,Financiamiento,5,940800.0,815100.0,564480.0,4139520.0
254,2024-02-13,19,F-150,Pickup,Contado,1,985400.0,748300.0,29560.0,955840.0
255,2024-02-13,13,Focus,Sedán,Financiamiento,3,435900.0,339900.0,156920.0,1150780.0
256,2024-02-13,20,Bronco,SUV,Leasing,1,833900.0,716500.0,0.0,833900.0
257,2024-02-13,1,Explorer,SUV,Financiamiento,2,1076100.0,862500.0,172180.0,1980020.0
258,2024-02-13,13,Focus,Sedán,Financiamiento,5,407200.0,341000.0,40720.0,1995280.0
259,2024-02-13,12,Fiesta,Sedán,Leasing,1,308300.0,250200.0,0.0,308300.0
260,2024-02-13,1,Focus,Sedán,Financiamiento,1,449300.0,324500.0,44930.0,404370.0
261,2024-02-14,15,Bronco,SUV,Financiamiento,5,836000.0,686800.0,0.0,4180000.0
262,2024-02-14,9,Fiesta,Sedán,Contado,4,324600.0,241400.0,0.0,1298400.0
263,2024-02-14,11,Explorer,SUV,Contado,5,1007600.0,850800.0,503800.0,4534200.0
264,2024-02-14,17,Mustang,Deportivo,Financiamiento,4,1316000.0,979200.0,157920.0,5106080.0
265,2024-02-14,18,F-150,Pickup,Contado,3,875100.0,753700.0,78760.0,2546540.0
266,2024-02-15,11,Mustang,Deportivo,Contado,3,1357600.0,948400.0,0.0,4072800.0
267,2024-02-15,15,Focus,Sedán,Contado,2,417100.0,326800.0,0.0,834200.0
268,2024-02-15,2,Explorer,SUV,Contado,2,1062000.0,864000.0,63720.0,2060280.0
269,2024-02-15,15,Explorer,SUV,Financiamiento,1,1078500.0,833500.0,0.0,1078500.0
270,2024-02-15,8,Fiesta,Sedán,Contado,1,323300.0,258300.0,16160.0,307140.0
271,2024-02-15,2,F-150,Pickup,Leasing,1,942400.0,740500.0,75390.0,867010.0
272,2024-02-16,15,Fiesta,Sedán,Contado,5,345300.0,253500.0,34530.0,1691970.0
273,2024-02-16,13,F-150,Pickup,Financiamiento,5,967600.0,798800.0,145140.0,4692860.0
274,2024-02-16,17,F-150,Pickup,Contado,2,944900.0,752700.0,37800.0,1852000.0
275,2024-02-16,9,Bronco,SUV,Contado,1,864000.0,721300.0,86400.0,777600.0
276,2024-02-16,5,Focus,Sedán,Contado,1,414400.0,328400.0,12430.0,401970.0
277,2024-02-16,3,F-150,Pickup,Financiamiento,2,999900.0,781900.0,239980.0,1759820.0
278,2024-02-16,13,Bronco,SUV,Financiamiento,5,889100.0,696200.0,533460.0,3912040.0
279,2024-02-16,2,Focus,Sedán,Contado,1,428400.0,317700.0,21420.0,406980.0
280,2024-02-16,9,Bronco,SUV,Financiamiento,1,888400.0,701000.0,0.0,888400.0
281,2024-02-16,16,Explorer,SUV,Financiamiento,1,988400.0,858200.0,98840.0,889560.0
282,2024-02-17,3,F-150,Pickup,Financiamiento,1,921000.0,781100.0,92100.0,828900.0
283,2024-02-17,14,Explorer,SUV,Leasing,1,1002400.0,826000.0,30070.0,972330.0
284,2024-02-17,15,Focus,Sedán,Leasing,5,443200.0,326500.0,221600.0,1994400.0
285,2024-02-17,13,F-150,Pickup,Contado,1,881500.0,755900.0,88150.0,793350.0
